Date,Open,High,Low,Close,Adj Close,Volume
1/2/2009,1.47219,1.476494,1.441296,1.452391,1.452391,0
1/5/2009,1.452391,1.473861,1.444002,1.471605,1.471605,0
1/6/2009,1.470999,1.498981,1.451463,1.491202,1.491202,0
1/7/2009,1.491291,1.525506,1.481964,1.507909,1.507909,0
1/8/2009,1.507295,1.536004,1.49988,1.522696,1.522696,0
1/9/2009,1.522905,1.53459,1.513294,1.517911,1.517911,0
1/12/2009,1.517911,1.523693,1.480604,1.481899,1.481899,0
1/13/2009,1.482096,1.482096,1.448016,1.451695,1.451695,0
1/14/2009,1.452306,1.469529,1.449906,1.462095,1.462095,0
1/15/2009,1.460984,1.468192,1.449296,1.467201,1.467201,0
1/16/2009,1.467308,1.497589,1.466319,1.473405,1.473405,0
1/19/2009,1.473405,1.490868,1.436844,1.442544,1.442544,0
1/20/2009,1.442564,1.442793,1.384907,1.387752,1.387752,0
1/21/2009,1.387867,1.401994,1.363903,1.387598,1.387598,0
1/22/2009,1.387655,1.396707,1.371009,1.388041,1.388041,0
1/23/2009,1.387809,1.388098,1.352997,1.378303,1.378303,0
1/26/2009,1.378303,1.404573,1.355473,1.397097,1.397097,0
1/27/2009,1.398406,1.423508,1.393709,1.418641,1.418641,0
1/28/2009,1.418722,1.4354,1.413108,1.422981,1.422981,0
1/29/2009,1.422576,1.438497,1.407598,1.427898,1.427898,0
1/30/2009,1.428306,1.456304,1.419507,1.456304,1.456304,0
2/2/2009,1.456304,1.456304,1.405995,1.421202,1.421202,0
2/3/2009,1.42104,1.447702,1.417394,1.44371,1.44371,0
2/4/2009,1.443501,1.456452,1.434597,1.445902,1.445902,0
2/5/2009,1.446048,1.47035,1.437897,1.463208,1.463208,0
2/6/2009,1.462994,1.483724,1.459705,1.477498,1.477498,0
2/9/2009,1.477498,1.497096,1.470805,1.485553,1.485553,0
2/10/2009,1.485796,1.488804,1.446592,1.45588,1.45588,0
2/11/2009,1.455795,1.456198,1.432193,1.435008,1.435008,0
2/12/2009,1.4354,1.441005,1.414907,1.429102,1.429102,0
2/13/2009,1.429204,1.4593,1.428592,1.435998,1.435998,0
2/16/2009,1.435998,1.442502,1.41621,1.429817,1.429817,0
2/17/2009,1.429695,1.43039,1.413108,1.423994,1.423994,0
2/18/2009,1.425009,1.429695,1.410955,1.42509,1.42509,0
2/19/2009,1.42509,1.444294,1.424501,1.426696,1.426696,0
2/20/2009,1.426595,1.445693,1.41633,1.443897,1.443897,0
2/23/2009,1.443897,1.465695,1.433301,1.447094,1.447094,0
2/24/2009,1.445734,1.457726,1.438207,1.452855,1.452855,0
2/25/2009,1.452201,1.459897,1.418399,1.422091,1.422091,0
2/26/2009,1.421504,1.438042,1.416993,1.429797,1.429797,0
2/27/2009,1.430063,1.4354,1.411951,1.427205,1.427205,0
3/2/2009,1.427205,1.428633,1.396999,1.403509,1.403509,0
3/3/2009,1.404199,1.415308,1.399894,1.4028,1.4028,0
3/4/2009,1.402997,1.420091,1.399404,1.417776,1.417776,0
3/5/2009,1.416591,1.422799,1.40479,1.413108,1.413108,0
3/6/2009,1.412908,1.428408,1.405007,1.407004,1.407004,0
3/9/2009,1.407004,1.417816,1.375705,1.379405,1.379405,0
3/10/2009,1.379405,1.389796,1.370201,1.379196,1.379196,0
3/11/2009,1.379101,1.388927,1.366512,1.384198,1.384198,0
3/12/2009,1.3846,1.397097,1.371498,1.393107,1.393107,0
3/13/2009,1.392215,1.405501,1.386943,1.400697,1.400697,0
3/16/2009,1.400697,1.422819,1.395109,1.407598,1.407598,0
3/17/2009,1.406391,1.413807,1.397097,1.405402,1.405402,0
3/18/2009,1.405896,1.432993,1.387097,1.428408,1.428408,0
3/19/2009,1.427491,1.459194,1.417997,1.449591,1.449591,0
3/20/2009,1.449738,1.458279,1.440092,1.44271,1.44271,0
3/23/2009,1.44271,1.4637,1.44271,1.457195,1.457195,0
3/24/2009,1.456198,1.477148,1.456198,1.470005,1.470005,0
3/25/2009,1.470675,1.471497,1.4518,1.455096,1.455096,0
3/26/2009,1.455202,1.463465,1.443106,1.446508,1.446508,0
3/27/2009,1.446697,1.449506,1.427796,1.432501,1.432501,0
3/29/2009,1.432501,1.432501,1.41209,1.424704,1.424704,0
3/30/2009,1.425009,1.437401,1.424664,1.434494,1.434494,0
3/31/2009,1.434597,1.447618,1.428,1.44609,1.44609,0
4/1/2009,1.446885,1.474796,1.44609,1.473492,1.473492,0
4/2/2009,1.473079,1.484693,1.465502,1.483305,1.483305,0
4/5/2009,1.483305,1.494992,1.46789,1.4741,1.4741,0
4/6/2009,1.473904,1.47741,1.460046,1.4741,1.4741,0
4/7/2009,1.4741,1.474513,1.464107,1.469508,1.469508,0
4/8/2009,1.469508,1.476909,1.460387,1.467502,1.467502,0
4/9/2009,1.467394,1.468493,1.462309,1.465996,1.465996,0
4/12/2009,1.465996,1.4869,1.461091,1.484935,1.484935,0
4/13/2009,1.485509,1.494411,1.482909,1.490491,1.490491,0
4/14/2009,1.491091,1.502901,1.483305,1.500015,1.500015,0
4/15/2009,1.499992,1.506478,1.485002,1.491892,1.491892,0
4/16/2009,1.492248,1.494098,1.476494,1.479991,1.479991,0
4/19/2009,1.479991,1.481503,1.45081,1.454313,1.454313,0
4/20/2009,1.454292,1.470675,1.44831,1.466491,1.466491,0
4/21/2009,1.466147,1.468407,1.442044,1.448897,1.448897,0
4/22/2009,1.448624,1.473991,1.445108,1.471692,1.471692,0
4/23/2009,1.471605,1.47669,1.45881,1.471497,1.471497,0
4/26/2009,1.471497,1.471497,1.45199,1.461497,1.461497,0
4/27/2009,1.462224,1.468709,1.452496,1.462865,1.462865,0
4/28/2009,1.462865,1.480604,1.462394,1.476734,1.476734,0
4/29/2009,1.476843,1.494098,1.472754,1.478809,1.478809,0
4/30/2009,1.479202,1.493094,1.475906,1.491091,1.491091,0
5/3/2009,1.491091,1.504891,1.48434,1.503511,1.503511,0
5/4/2009,1.502901,1.516024,1.498801,1.507091,1.507091,0
5/5/2009,1.507182,1.515404,1.49952,1.515014,1.515014,0
5/6/2009,1.514991,1.51888,1.494813,1.503398,1.503398,0
5/7/2009,1.503692,1.524995,1.497208,1.524297,1.524297,0
5/10/2009,1.524297,1.524599,1.507318,1.513707,1.513707,0
5/11/2009,1.513752,1.535108,1.508091,1.527044,1.527044,0
5/12/2009,1.526997,1.533107,1.509593,1.515289,1.515289,0
5/13/2009,1.515197,1.524809,1.506796,1.522951,1.522951,0
5/14/2009,1.523415,1.528701,1.513592,1.516093,1.516093,0
5/17/2009,1.516093,1.53499,1.512516,1.534378,1.534378,0
5/18/2009,1.53459,1.552506,1.530011,1.548395,1.548395,0
5/19/2009,1.548107,1.579554,1.545499,1.575399,1.575399,0
5/20/2009,1.5752,1.588992,1.552795,1.585088,1.585088,0
5/21/2009,1.585062,1.594311,1.575945,1.592002,1.592002,0
5/24/2009,1.592002,1.593295,1.583983,1.59109,1.59109,0
5/25/2009,1.590457,1.59701,1.578283,1.593702,1.593702,0
5/26/2009,1.593981,1.608493,1.593092,1.596093,1.596093,0
5/27/2009,1.596271,1.600794,1.586269,1.593372,1.593372,0
5/28/2009,1.593498,1.619591,1.592382,1.618699,1.618699,0
5/31/2009,1.618699,1.649593,1.616893,1.64471,1.64471,0
6/1/2009,1.644791,1.659834,1.633106,1.657907,1.657907,0
6/2/2009,1.657578,1.666167,1.624907,1.631295,1.631295,0
6/3/2009,1.631508,1.642899,1.608959,1.611266,1.611266,0
6/4/2009,1.611448,1.623192,1.594489,1.599591,1.599591,0
6/7/2009,1.599591,1.609813,1.580578,1.603824,1.603824,0
6/8/2009,1.604107,1.636206,1.599002,1.631108,1.631108,0
6/9/2009,1.630843,1.646633,1.62459,1.635403,1.635403,0
6/10/2009,1.635911,1.662151,1.634494,1.658402,1.658402,0
6/11/2009,1.658292,1.659999,1.635002,1.643088,1.643088,0
6/14/2009,1.643088,1.644493,1.624722,1.629487,1.629487,0
6/15/2009,1.629806,1.649811,1.622192,1.639694,1.639694,0
6/16/2009,1.639613,1.648071,1.622507,1.638807,1.638807,0
6/17/2009,1.638619,1.646605,1.619433,1.636608,1.636608,0
6/18/2009,1.636608,1.655109,1.630896,1.65221,1.65221,0
6/21/2009,1.65221,1.654096,1.632493,1.634788,1.634788,0
6/22/2009,1.634895,1.647447,1.621613,1.643358,1.643358,0
6/23/2009,1.644007,1.660495,1.637412,1.642791,1.642791,0
6/24/2009,1.643007,1.646822,1.623904,1.637331,1.637331,0
6/25/2009,1.63709,1.655602,1.636902,1.652892,1.652892,0
6/28/2009,1.652892,1.658787,1.643331,1.657001,1.657001,0
6/29/2009,1.657798,1.674201,1.642791,1.646687,1.646687,0
6/30/2009,1.646768,1.654397,1.638995,1.647799,1.647799,0
7/1/2009,1.647609,1.650083,1.632813,1.634735,1.634735,0
7/2/2009,1.634708,1.642791,1.629408,1.629408,1.629408,0
7/5/2009,1.629408,1.633213,1.609787,1.627392,1.627392,0
7/6/2009,1.628002,1.6297,1.6115,1.611629,1.611629,0
7/7/2009,1.611655,1.613606,1.598696,1.60591,1.60591,0
7/8/2009,1.605703,1.637197,1.603207,1.634307,1.634307,0
7/9/2009,1.634227,1.634387,1.616005,1.621797,1.621797,0
7/12/2009,1.621797,1.626413,1.603798,1.625408,1.625408,0
7/13/2009,1.625488,1.633907,1.623192,1.631987,1.631987,0
7/14/2009,1.632093,1.646904,1.630603,1.643196,1.643196,0
7/15/2009,1.643574,1.646118,1.635965,1.641605,1.641605,0
7/16/2009,1.641605,1.642198,1.626889,1.633213,1.633213,0
7/19/2009,1.633213,1.654534,1.633213,1.652456,1.652456,0
7/20/2009,1.644791,1.644818,1.642009,1.642009,1.642009,0
7/21/2009,1.646091,1.646551,1.64471,1.645007,1.645007,0
7/22/2009,1.651255,1.652346,1.6512,1.6512,1.6512,0
7/23/2009,1.64471,1.64471,1.64471,1.64471,1.64471,0
7/26/2009,1.643304,1.648587,1.643304,1.648533,1.648533,0
7/27/2009,1.640743,1.642036,1.639613,1.641093,1.641093,0
7/28/2009,1.635911,1.636688,1.634387,1.635109,1.635109,0
7/29/2009,1.649893,1.6515,1.649702,1.650792,1.650792,0
7/30/2009,1.670509,1.670509,1.670509,1.670509,1.670509,0
8/2/2009,1.671402,1.695001,1.671402,1.694111,1.694111,0
8/3/2009,1.694197,1.696008,1.694197,1.695404,1.695404,0
8/4/2009,1.700044,1.700507,1.698918,1.699611,1.699611,0
8/5/2009,1.679233,1.681011,1.678838,1.681011,1.681011,0
8/6/2009,1.668502,1.668502,1.668502,1.668502,1.668502,0
8/9/2009,1.669505,1.669505,1.646931,1.647881,1.647881,0
8/10/2009,1.648968,1.649212,1.648397,1.648995,1.648995,0
8/11/2009,1.65041,1.651091,1.65041,1.65101,1.65101,0
8/12/2009,1.657083,1.6581,1.656699,1.657001,1.657001,0
8/13/2009,1.654397,1.654397,1.654397,1.654397,1.654397,0
8/16/2009,1.653111,1.653111,1.633293,1.635189,1.635189,0
8/17/2009,1.655191,1.65931,1.654999,1.658897,1.658897,0
8/18/2009,1.653302,1.656589,1.653302,1.655903,1.655903,0
8/19/2009,1.650601,1.652019,1.650601,1.651091,1.651091,0
8/20/2009,1.650111,1.650111,1.650111,1.650111,1.650111,0
8/23/2009,1.65071,1.65071,1.640258,1.640797,1.640797,0
8/24/2009,1.634788,1.635002,1.631268,1.631588,1.631588,0
8/25/2009,1.623798,1.624511,1.622692,1.622902,1.622902,0
8/26/2009,1.627207,1.629992,1.627207,1.629275,1.629275,0
8/27/2009,1.626201,1.626201,1.626201,1.626201,1.626201,0
8/30/2009,1.627604,1.62954,1.627604,1.629195,1.629195,0
8/31/2009,1.616135,1.616397,1.612045,1.612903,1.612903,0
9/1/2009,1.62681,1.628479,1.62681,1.627604,1.627604,0
9/2/2009,1.632893,1.633987,1.63276,1.63276,1.63276,0
9/3/2009,1.63921,1.63921,1.63921,1.63921,1.63921,0
